posterior_mu,generation,estimated_p_theta,FrequencyPer350Mil,WordA,WordB,RelFreq,GenPref
0.549733433048852,500,0.549733433048852,5,body,breath,0.488230678697528,0.526351423391455
0.4209483837363279,500,0.4209483837363279,5,body,breath,0.488230678697528,0.526351423391455
0.5515141782904907,500,0.5515141782904907,5,body,breath,0.488230678697528,0.526351423391455
0.4209483837363279,500,0.4209483837363279,5,body,breath,0.488230678697528,0.526351423391455
0.5506601676208926,500,0.5506601676208926,5,body,breath,0.488230678697528,0.526351423391455
0.48624946606158337,500,0.48624946606158337,5,body,breath,0.488230678697528,0.526351423391455
0.5501516952768083,500,0.5501516952768083,5,body,breath,0.488230678697528,0.526351423391455
0.5511260765826606,500,0.5511260765826606,5,body,breath,0.488230678697528,0.526351423391455
0.15365962894729104,500,0.15365962894729104,105,body,face,0.173624726690413,0.226127480016445
0.2765931185031531,500,0.2765931185031531,105,body,face,0.173624726690413,0.226127480016445
0.16574816503317275,500,0.16574816503317275,105,body,face,0.173624726690413,0.226127480016445
0.16677316005459794,500,0.16677316005459794,105,body,face,0.173624726690413,0.226127480016445
0.202128761550142,500,0.202128761550142,105,body,face,0.173624726690413,0.226127480016445
0.1530602044343757,500,0.1530602044343757,105,body,face,0.173624726690413,0.226127480016445
0.1959164900349617,500,0.1959164900349617,105,body,face,0.173624726690413,0.226127480016445
0.15354669719253883,500,0.15354669719253883,105,body,face,0.173624726690413,0.226127480016445
0.13208631583234645,500,0.13208631583234645,105,body,face,0.173624726690413,0.226127480016445
0.2523923753715596,500,0.2523923753715596,105,body,face,0.173624726690413,0.226127480016445
0.31294820975342774,500,0.31294820975342774,187,body,head,0.15114194854004,0.319810511689688
0.2726757431714946,500,0.2726757431714946,187,body,head,0.15114194854004,0.319810511689688
0.2831165781155689,500,0.2831165781155689,187,body,head,0.15114194854004,0.319810511689688
0.21477732459542231,500,0.21477732459542231,187,body,head,0.15114194854004,0.319810511689688
0.3761295852518781,500,0.3761295852518781,187,body,head,0.15114194854004,0.319810511689688
0.3686030660642947,500,0.3686030660642947,187,body,head,0.15114194854004,0.319810511689688
0.19864499183240114,500,0.19864499183240114,187,body,head,0.15114194854004,0.319810511689688
0.47976605076010603,500,0.47976605076010603,187,body,head,0.15114194854004,0.319810511689688
0.12085854450374417,500,0.12085854450374417,187,body,head,0.15114194854004,0.319810511689688
