Estimate,Est.Error,Q2.5,Q97.5,checkpoint,Parameter,% Samples > 0
0.31442779882262895,0.8554448858585074,-1.343728886573899,2.1028454308292037,step6000-tokens25B,log_bigram_odds_ratio,52.625
0.08779458388578294,1.2386507256326733,-2.3839923122824653,2.6900381254785812,step6000-tokens25B,GenPref:log_bigram_odds_ratio,64
0.012255127301643865,0.8401834520978695,-1.5275683717746134,1.7799225878517262,step6500-tokens27B,Intercept,48.475
-0.4788113665475154,1.4232688070912112,-3.8625314293976802,2.0065574093043823,step6500-tokens27B,GenPref,36.9375
0.11892144551094372,0.9211687138220279,-1.6696199787514006,2.047026721228002,step6500-tokens27B,log_bigram_odds_ratio,56.7125
0.24083560755896088,1.2979841292536576,-2.196733890877974,3.1358530476461097,step6500-tokens27B,GenPref:log_bigram_odds_ratio,54.675
0.1597973103825164,0.7534584501307968,-1.3054180754250175,1.7029962036063817,step7000-tokens29B,Intercept,58.6875
-0.055213183455037125,1.2075896886241286,-2.6550232808164127,2.4241006352439514,step7000-tokens29B,GenPref,48.675000000000004
0.3957658639825414,0.9805634829029555,-1.4281078550078077,2.5456208678494634,step7000-tokens29B,log_bigram_odds_ratio,60.0625
0.37886132797715333,1.3470786206319998,-2.0336123330088265,3.518175601028091,step7000-tokens29B,GenPref:log_bigram_odds_ratio,66.1375
-0.029586669720562522,0.7302020528255846,-1.4703641485414811,1.4064943084490336,step7500-tokens31B,Intercept,47.7375
0.02953682110842454,1.2167462094459989,-2.4023257865960357,2.512912677054923,step7500-tokens31B,GenPref,51.0125
0.5989721817975688,0.9483576577149888,-1.1407592897742558,2.587799839504404,step7500-tokens31B,log_bigram_odds_ratio,63.2625
0.4742269122795769,1.3421321998387112,-1.844404436340758,3.496092916766918,step7500-tokens31B,GenPref:log_bigram_odds_ratio,73.91250000000001
-0.39748173272846776,0.774597925524876,-1.9102695175633762,1.155877629311653,step8000-tokens33B,Intercept,29.0875
-5.048716740677678e-4,1.2679519691094803,-2.5594263430654136,2.495999327587311,step8000-tokens33B,GenPref,50.55
0.36515800833787704,0.978279873277212,-1.4778293348532692,2.419785052314903,step8000-tokens33B,log_bigram_odds_ratio,57.35
0.2550888289323057,1.314064634447646,-2.22509183385622,3.1405029633666053,step8000-tokens33B,GenPref:log_bigram_odds_ratio,64.47500000000001
-0.33858924141399366,0.7952836853748456,-2.021090497979072,1.1258050413640128,step8500-tokens35B,Intercept,33.3625
0.40775946007288233,1.3216453255983747,-1.9521476480268531,3.4641599643080476,step8500-tokens35B,GenPref,61.9625
0.6857339970425977,0.9961848761104662,-1.0837279563634872,2.872153831678448,step8500-tokens35B,log_bigram_odds_ratio,58.1125
0.2812282823918411,1.2919469941010637,-2.089032945162583,3.096278737903806,step8500-tokens35B,GenPref:log_bigram_odds_ratio,75.55
-0.451934595342996,0.805857513879771,-2.1544367640953186,1.0278724542649638,step9000-tokens37B,Intercept,28.349999999999998
0.39062022030589133,1.3390555722033202,-1.9610014996148009,3.4625307685113125,step9000-tokens37B,GenPref,61
0.2975882522149384,0.9785401741698269,-1.5859419173022362,2.3610338000146385,step9000-tokens37B,log_bigram_odds_ratio,53.2125
0.09627536987904524,1.2577287224920952,-2.3828833953606456,2.705396231674092,step9000-tokens37B,GenPref:log_bigram_odds_ratio,61.712500000000006
0.3270510621987246,0.6838058324300063,-1.0296810422442368,1.6761278163808044,step9500-tokens39B,Intercept,69.22500000000001
-0.16322601199437048,1.1474036589470624,-2.637539598085673,2.1334942240268027,step9500-tokens39B,GenPref,44.25
0.2694003092224335,0.8587529656014727,-1.3805571811798432,2.0384037474981027,step9500-tokens39B,log_bigram_odds_ratio,56.425000000000004
0.1951593792919375,1.229821131812069,-2.1753188761968767,2.8535280144546435,step9500-tokens39B,GenPref:log_bigram_odds_ratio,62.5375
